motif,motif_length,support,prevalence,question_coverage,success_present,failure_present,success_rate_present,success_rate_absent,support_difference,lift_overall_success,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,fisher_p_value,fdr_q_value,avg_stage_position,stage_bucket,avg_trace_length_present,noise_cooccurrence_rate,top_neighbor_motifs
strategy:equate-exponents action:compare,2,15,0.033333,1,15,0,1.000000,0.648276,0.351724,1.515152,16.844248,1.000949,283.459625,0.00357773,0.00768549,0.481215,middle,10.600000,0.000000,action:apply-formula milestone:applied:power-of-a-power || milestone:equation-simplified strategy:equate-exponents action:compare || milestone:equation-simplified strategy:equate-exponents || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula
strategy:set-subgoal action:analyze action:apply-formula,3,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02962853,0.020000,early,11.600000,0.000000,strategy:set-subgoal action:analyze || action:analyze action:apply-formula || action:apply-formula action:rewrite || action:analyze action:apply-formula action:rewrite || action:rewrite milestone:key-relation:var1=const-var2
action:apply-formula action:rewrite milestone:key-relation:var1=const-var2,3,9,0.020000,1,9,0,1.000000,0.653061,0.346939,1.515152,10.109185,0.584408,174.870316,0.03153493,0.04618752,0.207063,early,11.777778,0.000000,action:rewrite milestone:key-relation:var1=const-var2 || action:apply-formula action:rewrite || action:compute milestone:derived:closed-form || action:analyze action:apply-formula action:rewrite || action:analyze action:apply-formula
action:conclude milestone:derived:closed-form,2,10,0.022222,2,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02962853,1.000000,late,10.000000,0.000000,strategy:set-subgoal action:analyze || action:compute action:conclude || action:rewrite action:compute || action:apply-formula action:rewrite || action:apply-formula action:rewrite action:compute
action:rewrite action:compute,2,77,0.171111,8,61,16,0.792208,0.632708,0.159500,1.200315,2.167019,1.210109,3.880618,0.00794062,0.01525020,0.626981,middle,14.844156,0.051948,action:instantiate action:apply-formula || action:apply-formula action:rewrite || action:apply-formula action:rewrite action:compute || action:apply-formula action:compute || action:analyze action:instantiate
action:apply-formula action:rewrite action:compute,3,25,0.055556,4,16,9,0.640000,0.661176,-0.021176,0.969697,0.891558,0.391469,2.030497,0.83033222,0.87881877,0.430404,middle,15.000000,0.040000,action:rewrite action:compute || action:apply-formula action:rewrite || action:instantiate action:apply-formula || action:instantiate action:apply-formula action:rewrite || action:compute milestone:derived:closed-form
action:compute action:derive-intermediate,2,19,0.042222,5,2,17,0.105263,0.684455,-0.579192,0.159490,0.065990,0.017268,0.252178,0.00000049,0.00001595,0.585598,middle,21.052632,0.000000,action:instantiate action:compute || action:instantiate action:compute action:derive-intermediate || action:derive-intermediate milestone:key-relation:periodic-mod-5 || action:compute action:derive-intermediate milestone:key-relation:periodic-mod-5 || action:compute action:instantiate action:compute
action:instantiate action:apply-formula action:rewrite,3,16,0.035556,4,8,8,0.500000,0.665899,-0.165899,0.757576,0.502591,0.190261,1.327637,0.18516837,0.22007716,0.211845,early,15.000000,0.062500,action:instantiate action:apply-formula || action:apply-formula action:rewrite || action:rewrite action:compute || action:apply-formula action:rewrite action:compute || action:apply-formula action:compute
action:rewrite action:derive-intermediate,2,11,0.024444,2,7,4,0.636364,0.660592,-0.024229,0.964187,0.857717,0.262177,2.806030,1.00000000,1.00000000,0.433624,middle,12.909091,0.181818,action:apply-formula action:rewrite || action:rewrite action:compute || action:analyze action:apply-formula || milestone:derived:closed-form action:conclude || action:rewrite action:compute milestone:derived:closed-form
action:derive-intermediate milestone:key-relation:var1=const-var2,2,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.07176664,0.397195,middle,11.500000,0.000000,action:analyze action:apply-formula || strategy:set-subgoal action:analyze || action:rewrite action:compute || action:compute milestone:derived:closed-form || action:apply-formula action:rewrite action:compute
action:rewrite action:compute milestone:derived:closed-form,3,10,0.022222,3,7,3,0.700000,0.659091,0.040909,1.060606,1.110155,0.307443,4.008685,1.00000000,1.00000000,0.760000,late,16.100000,0.000000,action:rewrite action:compute || action:compute milestone:derived:closed-form || action:apply-formula action:rewrite || action:apply-formula action:rewrite action:compute || milestone:derived:closed-form action:conclude
action:analyze action:rewrite,2,19,0.042222,3,15,4,0.789474,0.654292,0.135181,1.196172,1.822812,0.626432,5.304080,0.32274353,0.37480129,0.046053,early,10.526316,0.315789,action:rewrite action:conclude || noise:corrupted-span action:analyze || strategy:set-subgoal action:analyze || action:simplify action:rewrite || action:rewrite milestone:reduced-to:one-variable
action:apply-formula action:derive-intermediate,2,13,0.028889,3,9,4,0.692308,0.659039,0.033269,1.048951,1.093973,0.350260,3.416819,1.00000000,1.00000000,0.360506,middle,13.769231,0.230769,strategy:reduce-to-known-form action:apply-formula || action:rewrite action:simplify || action:rewrite action:apply-formula || action:instantiate action:apply-formula || action:derive-intermediate action:rewrite
action:compute action:check-constraint,2,8,0.017778,4,3,5,0.375000,0.665158,-0.290158,0.568182,0.320883,0.082803,1.243509,0.12784521,0.15447962,0.577885,middle,14.750000,0.125000,action:rewrite action:compute || action:apply-formula action:compute || action:instantiate action:rewrite || action:derive-intermediate action:compute || action:apply-formula action:rewrite action:compute
action:rewrite action:apply-formula,2,10,0.022222,3,7,3,0.700000,0.659091,0.040909,1.060606,1.110155,0.307443,4.008685,1.00000000,1.00000000,0.409653,middle,14.800000,0.000000,action:apply-formula action:rewrite || action:check-constraint action:conclude || action:instantiate action:rewrite || action:apply-formula action:derive-intermediate || strategy:reduce-to-known-form action:apply-formula
action:instantiate action:rewrite,2,9,0.020000,4,4,5,0.444444,0.664399,-0.219955,0.673401,0.413969,0.117260,1.461455,0.17578167,0.20978060,0.266572,early,13.666667,0.111111,action:rewrite action:compute || action:rewrite action:apply-formula || action:check-constraint action:conclude || action:analyze action:instantiate || action:rewrite action:derive-intermediate
action:check-constraint action:conclude,2,8,0.017778,2,5,3,0.625000,0.660633,-0.035633,0.946970,0.808547,0.208662,3.133048,1.00000000,1.00000000,0.947917,late,15.125000,0.000000,action:rewrite action:apply-formula || action:analyze action:instantiate || action:instantiate action:rewrite || action:rewrite action:simplify || action:rewrite action:derive-intermediate
strategy:set-subgoal action:apply-formula,2,30,0.066667,4,29,1,0.966667,0.638095,0.328571,1.464646,11.170081,2.139836,58.308548,0.00007520,0.00043617,0.308968,early,13.733333,0.000000,action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || milestone:key-relation:equation strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal || action:instantiate milestone:key-relation:equation strategy:set-subgoal
action:simplify milestone:key-relation:fraction-simplified,2,24,0.053333,1,21,3,0.875000,0.647887,0.227113,1.325758,3.343580,1.061840,10.528451,0.02534056,0.03929820,1.000000,late,12.333333,0.041667,action:compute milestone:key-relation:remaining-total || action:apply-formula milestone:key-relation:fraction-raw || action:derive-intermediate milestone:key-relation:math-remaining || milestone:key-relation:total-initial action:compute || milestone:key-relation:math-remaining action:apply-formula milestone:key-relation:fraction-raw
milestone:key-relation:fraction-raw action:simplify,2,11,0.024444,1,10,1,0.909091,0.653759,0.255332,1.377410,3.713043,0.663513,20.778330,0.10764162,0.13171338,0.883874,late,10.818182,0.090909,milestone:key-relation:fraction-raw action:simplify milestone:key-relation:fraction-simplified || action:simplify milestone:key-relation:fraction-simplified || action:compute milestone:key-relation:remaining-total || action:apply-formula milestone:key-relation:fraction-raw action:simplify || action:apply-formula milestone:key-relation:fraction-raw
strategy:setup action:compute,2,9,0.020000,1,8,1,0.888889,0.655329,0.233560,1.346801,2.985032,0.520358,17.123624,0.28436038,0.33251819,0.011111,early,11.777778,0.111111,action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified || action:apply-formula milestone:key-relation:fraction-raw || action:compute milestone:key-relation:math-remaining || strategy:compute-total action:compute milestone:key-relation:remaining-total
milestone:key-relation:fraction-raw action:simplify milestone:key-relation:fraction-simplified,3,11,0.024444,1,10,1,0.909091,0.653759,0.255332,1.377410,3.713043,0.663513,20.778330,0.10764162,0.13171338,1.000000,late,10.818182,0.090909,milestone:key-relation:fraction-raw action:simplify || action:simplify milestone:key-relation:fraction-simplified || action:compute milestone:key-relation:remaining-total || action:apply-formula milestone:key-relation:fraction-raw action:simplify || action:apply-formula milestone:key-relation:fraction-raw
action:compute milestone:key-relation:math-remaining,2,8,0.017778,1,5,3,0.625000,0.660633,-0.035633,0.946970,0.808547,0.208662,3.133048,1.00000000,1.00000000,0.420784,middle,11.500000,0.125000,action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified || action:apply-formula milestone:key-relation:fraction-raw || strategy:setup action:compute || strategy:compute-total action:compute milestone:key-relation:remaining-total
action:compute milestone:key-relation:remaining-total,2,26,0.057778,1,22,4,0.846154,0.648585,0.197569,1.282051,2.713249,0.967162,7.611673,0.05284899,0.07176664,0.354324,middle,12.269231,0.076923,action:simplify milestone:key-relation:fraction-simplified || action:apply-formula milestone:key-relation:fraction-raw || action:derive-intermediate milestone:key-relation:math-remaining || milestone:key-relation:total-initial action:compute || strategy:compute-total action:compute milestone:key-relation:remaining-total
milestone:key-relation:math-remaining action:apply-formula,2,11,0.024444,1,10,1,0.909091,0.653759,0.255332,1.377410,3.713043,0.663513,20.778330,0.10764162,0.13171338,0.666784,middle,12.272727,0.000000,milestone:key-relation:math-remaining action:apply-formula milestone:key-relation:fraction-raw || action:simplify milestone:key-relation:fraction-simplified || action:compute milestone:key-relation:remaining-total || action:apply-formula milestone:key-relation:fraction-raw || action:derive-intermediate milestone:key-relation:math-remaining action:apply-formula
action:derive-intermediate milestone:key-relation:math-remaining,2,16,0.035556,1,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00496055,0.536386,middle,12.937500,0.000000,action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified || action:apply-formula milestone:key-relation:fraction-raw || milestone:key-relation:remaining-total action:derive-intermediate milestone:key-relation:math-remaining || milestone:key-relation:remaining-total action:derive-intermediate
action:apply-formula milestone:key-relation:fraction-raw action:simplify,3,9,0.020000,1,8,1,0.888889,0.655329,0.233560,1.346801,2.985032,0.520358,17.123624,0.28436038,0.33251819,0.871292,late,11.000000,0.111111,milestone:key-relation:fraction-raw action:simplify milestone:key-relation:fraction-simplified || milestone:key-relation:fraction-raw action:simplify || action:simplify milestone:key-relation:fraction-simplified || action:compute milestone:key-relation:remaining-total || action:apply-formula milestone:key-relation:fraction-raw
milestone:key-relation:remaining-total strategy:derive-fraction,2,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02962853,0.431449,middle,13.100000,0.000000,action:simplify milestone:key-relation:fraction-simplified || action:compute milestone:key-relation:remaining-total strategy:derive-fraction || action:compute milestone:key-relation:remaining-total || action:apply-formula milestone:key-relation:fraction-raw || action:derive-intermediate milestone:key-relation:math-remaining
action:derive-intermediate milestone:key-relation:math-remaining action:apply-formula,3,8,0.017778,1,8,0,1.000000,0.653846,0.346154,1.515152,9.013817,0.516766,157.225823,0.05568102,0.07176664,0.640096,middle,12.625000,0.000000,milestone:key-relation:math-remaining action:apply-formula milestone:key-relation:fraction-raw || milestone:key-relation:math-remaining action:apply-formula || action:simplify milestone:key-relation:fraction-simplified || action:derive-intermediate milestone:key-relation:math-remaining || action:compute milestone:key-relation:remaining-total
action:compute milestone:key-relation:remaining-total strategy:derive-fraction,3,10,0.022222,1,10,0,1.000000,0.652273,0.347727,1.515152,11.212174,0.652565,192.644271,0.01845094,0.02962853,0.371727,middle,13.100000,0.000000,milestone:key-relation:remaining-total strategy:derive-fraction || action:simplify milestone:key-relation:fraction-simplified || action:compute milestone:key-relation:remaining-total || action:apply-formula milestone:key-relation:fraction-raw || action:derive-intermediate milestone:key-relation:math-remaining
milestone:key-relation:math-remaining action:apply-formula milestone:key-relation:fraction-raw,3,11,0.024444,1,10,1,0.909091,0.653759,0.255332,1.377410,3.713043,0.663513,20.778330,0.10764162,0.13171338,0.741136,late,12.272727,0.000000,milestone:key-relation:math-remaining action:apply-formula || action:simplify milestone:key-relation:fraction-simplified || action:compute milestone:key-relation:remaining-total || action:apply-formula milestone:key-relation:fraction-raw || action:derive-intermediate milestone:key-relation:math-remaining action:apply-formula
action:apply-formula milestone:key-relation:fraction-raw,2,20,0.044444,1,17,3,0.850000,0.651163,0.198837,1.287879,2.682709,0.837115,8.597297,0.08950712,0.11140371,0.758745,late,12.650000,0.050000,action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified || action:derive-intermediate milestone:key-relation:math-remaining || milestone:key-relation:math-remaining action:apply-formula milestone:key-relation:fraction-raw || milestone:key-relation:math-remaining action:apply-formula
milestone:key-relation:fraction-raw strategy:simplify-fraction,2,11,0.024444,1,9,2,0.818182,0.656036,0.162145,1.239669,1.995494,0.488643,8.149095,0.34635631,0.40017263,0.827947,late,13.818182,0.000000,action:compute milestone:key-relation:remaining-total || strategy:simplify-fraction action:simplify milestone:key-relation:fraction-simplified || strategy:simplify-fraction action:simplify || milestone:key-relation:fraction-raw strategy:simplify-fraction action:simplify || action:simplify milestone:key-relation:fraction-simplified
action:apply-formula milestone:key-relation:fraction-raw strategy:simplify-fraction,3,10,0.022222,1,8,2,0.800000,0.656818,0.143182,1.212121,1.779275,0.428442,7.389133,0.50581222,0.57076087,0.817545,late,14.100000,0.000000,milestone:key-relation:fraction-raw strategy:simplify-fraction || action:compute milestone:key-relation:remaining-total || action:apply-formula milestone:key-relation:fraction-raw || strategy:simplify-fraction action:simplify milestone:key-relation:fraction-simplified || strategy:simplify-fraction action:simplify
strategy:compute-total action:compute,2,11,0.024444,1,8,3,0.727273,0.658314,0.068958,1.101928,1.262522,0.358013,4.452242,0.75642168,0.80945493,0.323165,early,13.636364,0.090909,strategy:compute-total action:compute milestone:key-relation:remaining-total || action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified || action:compute strategy:compute-total action:compute || action:compute strategy:compute-total
strategy:simplify-fraction action:simplify,2,10,0.022222,1,8,2,0.800000,0.656818,0.143182,1.212121,1.779275,0.428442,7.389133,0.50581222,0.57076087,0.914462,late,13.900000,0.000000,strategy:simplify-fraction action:simplify milestone:key-relation:fraction-simplified || milestone:key-relation:fraction-raw strategy:simplify-fraction action:simplify || milestone:key-relation:fraction-raw strategy:simplify-fraction || action:simplify milestone:key-relation:fraction-simplified || action:compute milestone:key-relation:remaining-total
milestone:key-relation:remaining-total action:derive-intermediate milestone:key-relation:math-remaining,3,9,0.020000,1,9,0,1.000000,0.653061,0.346939,1.515152,10.109185,0.584408,174.870316,0.03153493,0.04618752,0.467348,middle,12.222222,0.000000,milestone:key-relation:remaining-total action:derive-intermediate || action:derive-intermediate milestone:key-relation:math-remaining || action:compute milestone:key-relation:remaining-total action:derive-intermediate || action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified
milestone:key-relation:remaining-total action:derive-intermediate,2,9,0.020000,1,9,0,1.000000,0.653061,0.346939,1.515152,10.109185,0.584408,174.870316,0.03153493,0.04618752,0.420660,middle,12.222222,0.000000,milestone:key-relation:remaining-total action:derive-intermediate milestone:key-relation:math-remaining || action:derive-intermediate milestone:key-relation:math-remaining || action:compute milestone:key-relation:remaining-total action:derive-intermediate || action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified
action:compute milestone:key-relation:remaining-total action:derive-intermediate,3,9,0.020000,1,9,0,1.000000,0.653061,0.346939,1.515152,10.109185,0.584408,174.870316,0.03153493,0.04618752,0.355439,middle,12.222222,0.000000,milestone:key-relation:remaining-total action:derive-intermediate milestone:key-relation:math-remaining || milestone:key-relation:remaining-total action:derive-intermediate || action:derive-intermediate milestone:key-relation:math-remaining || action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified
strategy:simplify-fraction action:simplify milestone:key-relation:fraction-simplified,3,10,0.022222,1,8,2,0.800000,0.656818,0.143182,1.212121,1.779275,0.428442,7.389133,0.50581222,0.57076087,1.000000,late,13.900000,0.000000,strategy:simplify-fraction action:simplify || milestone:key-relation:fraction-raw strategy:simplify-fraction action:simplify || milestone:key-relation:fraction-raw strategy:simplify-fraction || action:simplify milestone:key-relation:fraction-simplified || action:compute milestone:key-relation:remaining-total
milestone:key-relation:fraction-raw strategy:simplify-fraction action:simplify,3,10,0.022222,1,8,2,0.800000,0.656818,0.143182,1.212121,1.779275,0.428442,7.389133,0.50581222,0.57076087,0.906272,late,13.900000,0.000000,strategy:simplify-fraction action:simplify milestone:key-relation:fraction-simplified || strategy:simplify-fraction action:simplify || milestone:key-relation:fraction-raw strategy:simplify-fraction || action:simplify milestone:key-relation:fraction-simplified || action:compute milestone:key-relation:remaining-total
action:compute strategy:compute-total action:compute,3,10,0.022222,1,8,2,0.800000,0.656818,0.143182,1.212121,1.779275,0.428442,7.389133,0.50581222,0.57076087,0.274319,early,13.800000,0.100000,strategy:compute-total action:compute milestone:key-relation:remaining-total || strategy:compute-total action:compute || action:compute strategy:compute-total || action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified
action:compute strategy:compute-total,2,10,0.022222,1,8,2,0.800000,0.656818,0.143182,1.212121,1.779275,0.428442,7.389133,0.50581222,0.57076087,0.248822,early,13.800000,0.100000,strategy:compute-total action:compute milestone:key-relation:remaining-total || strategy:compute-total action:compute || action:compute strategy:compute-total action:compute || action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified
strategy:compute-total action:compute milestone:key-relation:remaining-total,3,11,0.024444,1,8,3,0.727273,0.658314,0.068958,1.101928,1.262522,0.358013,4.452242,0.75642168,0.80945493,0.356092,middle,13.636364,0.090909,strategy:compute-total action:compute || action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified || action:compute strategy:compute-total action:compute || action:compute strategy:compute-total
milestone:key-relation:total-initial action:compute,2,13,0.028889,1,10,3,0.769231,0.656751,0.112480,1.165501,1.570435,0.461002,5.349795,0.55649225,0.62070289,0.191515,early,12.923077,0.153846,action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified || action:apply-formula milestone:key-relation:fraction-raw || action:derive-intermediate milestone:key-relation:math-remaining || action:compute milestone:key-relation:total-initial action:compute
action:analyze action:compute,2,25,0.055556,5,17,8,0.680000,0.658824,0.021176,1.030303,1.067946,0.459411,2.482544,1.00000000,1.00000000,0.116824,early,12.080000,0.040000,action:simplify milestone:key-relation:fraction-simplified || action:compute milestone:key-relation:remaining-total || action:instantiate action:compute || action:derive-intermediate milestone:key-relation:math-remaining || action:apply-formula milestone:key-relation:fraction-raw
action:compute milestone:key-relation:total-initial,2,8,0.017778,1,6,2,0.750000,0.658371,0.091629,1.136364,1.351286,0.310137,5.887643,0.72186275,0.78677959,0.116854,early,12.125000,0.250000,milestone:key-relation:total-initial action:compute || action:compute milestone:key-relation:total-initial action:compute || action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified || action:apply-formula milestone:key-relation:fraction-raw
action:compute milestone:key-relation:total-initial action:compute,3,8,0.017778,1,6,2,0.750000,0.658371,0.091629,1.136364,1.351286,0.310137,5.887643,0.72186275,0.78677959,0.129449,early,12.125000,0.250000,milestone:key-relation:total-initial action:compute || action:compute milestone:key-relation:total-initial || action:compute milestone:key-relation:remaining-total || action:simplify milestone:key-relation:fraction-simplified || action:apply-formula milestone:key-relation:fraction-raw
strategy:choose-representation action:instantiate,2,24,0.053333,3,24,0,1.000000,0.640845,0.359155,1.515152,27.500914,1.660719,455.405328,0.00006347,0.00037563,0.029378,early,14.208333,0.000000,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:choose-representation action:instantiate milestone:key-relation:equation || milestone:key-relation:equation strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal
milestone:key-relation:cleared-fraction strategy:set-subgoal action:rewrite,3,19,0.042222,1,19,0,1.000000,0.645012,0.354988,1.515152,21.495512,1.288872,358.497078,0.00035941,0.00135364,0.486576,middle,13.842105,0.000000,strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal action:apply-formula
action:instantiate milestone:key-relation:equation,2,26,0.057778,1,25,1,0.961538,0.641509,0.320029,1.456876,9.513761,1.811443,49.966613,0.00038631,0.00141808,0.101717,early,13.615385,0.038462,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal || action:rewrite milestone:reduced-to:one-variable
strategy:set-subgoal action:rewrite action:compute,3,20,0.044444,2,20,0,1.000000,0.644186,0.355814,1.515152,22.679279,1.362164,377.597528,0.00035114,0.00135364,0.845602,late,14.300000,0.000000,strategy:set-subgoal action:rewrite || action:rewrite action:compute || strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula
action:apply-formula milestone:key-relation:cleared-fraction,2,25,0.055556,1,25,0,1.000000,0.640000,0.360000,1.515152,28.728440,1.736732,475.216198,0.00003386,0.00027277,0.357341,middle,14.040000,0.000000,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal || action:rewrite milestone:reduced-to:one-variable
action:rewrite milestone:reduced-to:one-variable,2,27,0.060000,2,27,0,1.000000,0.638298,0.361702,1.515152,31.210721,1.890448,515.279476,0.00001080,0.00018432,0.628598,middle,13.925926,0.000000,strategy:set-subgoal action:apply-formula || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || milestone:key-relation:equation strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal || action:instantiate milestone:key-relation:equation strategy:set-subgoal
milestone:key-relation:equation strategy:set-subgoal,2,25,0.055556,1,25,0,1.000000,0.640000,0.360000,1.515152,28.728440,1.736732,475.216198,0.00003386,0.00027277,0.189637,early,14.040000,0.000000,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal action:apply-formula || action:rewrite milestone:reduced-to:one-variable || action:instantiate milestone:key-relation:equation strategy:set-subgoal
milestone:key-relation:cleared-fraction strategy:set-subgoal,2,21,0.046667,1,21,0,1.000000,0.643357,0.356643,1.515152,23.871609,1.435989,396.837128,0.00019100,0.00089338,0.442303,middle,14.095238,0.000000,strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal action:apply-formula
action:instantiate milestone:key-relation:equation strategy:set-subgoal,3,25,0.055556,1,25,0,1.000000,0.640000,0.360000,1.515152,28.728440,1.736732,475.216198,0.00003386,0.00027277,0.115434,early,14.040000,0.000000,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal || action:rewrite milestone:reduced-to:one-variable
milestone:reduced-to:one-variable strategy:set-subgoal action:rewrite,3,19,0.042222,1,19,0,1.000000,0.645012,0.354988,1.515152,21.495512,1.288872,358.497078,0.00035941,0.00135364,0.754229,late,14.368421,0.000000,strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:rewrite action:compute || strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula
action:apply-formula milestone:key-relation:cleared-fraction strategy:set-subgoal,3,21,0.046667,1,21,0,1.000000,0.643357,0.356643,1.515152,23.871609,1.435989,396.837128,0.00019100,0.00089338,0.391767,middle,14.095238,0.000000,strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal action:apply-formula
action:rewrite milestone:reduced-to:one-variable strategy:set-subgoal,3,22,0.048889,1,22,0,1.000000,0.642523,0.357477,1.515152,25.072595,1.510353,416.217310,0.00010778,0.00055816,0.672873,late,14.272727,0.000000,strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || milestone:reduced-to:one-variable strategy:set-subgoal
strategy:choose-representation action:instantiate milestone:key-relation:equation,3,20,0.044444,1,20,0,1.000000,0.644186,0.355814,1.515152,22.679279,1.362164,377.597528,0.00035114,0.00135364,0.020675,early,14.050000,0.000000,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || strategy:choose-representation action:instantiate || milestone:key-relation:equation strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal
strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction,3,25,0.055556,1,25,0,1.000000,0.640000,0.360000,1.515152,28.728440,1.736732,475.216198,0.00003386,0.00027277,0.298676,early,14.040000,0.000000,strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal || action:rewrite milestone:reduced-to:one-variable || action:instantiate milestone:key-relation:equation strategy:set-subgoal
strategy:set-subgoal action:rewrite,2,27,0.060000,3,26,1,0.962963,0.640662,0.322301,1.459035,9.923266,1.892626,52.028873,0.00021938,0.00099407,0.535469,middle,14.000000,0.000000,strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal
strategy:set-subgoal action:rewrite milestone:reduced-to:one-variable,3,24,0.053333,1,24,0,1.000000,0.640845,0.359155,1.515152,27.500914,1.660719,455.405328,0.00006347,0.00037563,0.589281,middle,14.166667,0.000000,strategy:set-subgoal action:rewrite || strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal
milestone:key-relation:equation strategy:set-subgoal action:apply-formula,3,25,0.055556,1,25,0,1.000000,0.640000,0.360000,1.515152,28.728440,1.736732,475.216198,0.00003386,0.00027277,0.207055,early,14.040000,0.000000,strategy:set-subgoal action:apply-formula milestone:key-relation:cleared-fraction || strategy:set-subgoal action:apply-formula || milestone:key-relation:equation strategy:set-subgoal || action:rewrite milestone:reduced-to:one-variable || action:instantiate milestone:key-relation:equation strategy:set-subgoal
